Sl,Station_Names,Year,Month,Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Period,Flood?,Rainfall log,Wind_Speed log,ALT log
0,Barisal,1949,1,29.4,12.3,0.0,68.0,0.453703704,0.6,7.831914894,536809.8,510151.9,22.7,90.36,4,1949.01,0.0,0.0,0.37411457842791,1.6094379124341003
1,Barisal,1949,2,33.9,15.2,9.0,63.0,0.659259259,0.9,8.314893617,536809.8,510151.9,22.7,90.36,4,1949.02,0.0,2.302585092994046,0.5063712732603604,1.6094379124341003
3,Barisal,1949,4,33.9,23.9,140.0,71.0,1.772222222,3.9,8.219148936,536809.8,510151.9,22.7,90.36,4,1949.04,0.0,4.948759890378168,1.0196492447811478,1.6094379124341003
4,Barisal,1949,5,35.6,25.0,217.0,76.0,1.703703704,4.1,7.046808511,536809.8,510151.9,22.7,90.36,4,1949.05,0.0,5.384495062789089,0.9946225752536512,1.6094379124341003
5,Barisal,1949,6,34.4,25.7,512.0,80.0,1.631481481,5.6,4.072340426,536809.8,510151.9,22.7,90.36,4,1949.06,1.0,6.240275845170769,0.9675469883558109,1.6094379124341003
6,Barisal,1949,7,33.4,25.8,575.0,85.0,1.57037037,5.4,3.738297872,536809.8,510151.9,22.7,90.36,4,1949.07,1.0,6.3561076606958915,0.9440500013643375,1.6094379124341003
7,Barisal,1949,8,33.5,25.7,349.0,86.0,1.32962963,5.6,4.272340426,536809.8,510151.9,22.7,90.36,4,1949.08,1.0,5.857933154483459,0.8457092978610482,1.6094379124341003
8,Barisal,1949,9,34.8,25.7,252.0,83.0,0.937037037,4.8,4.823404255,536809.8,510151.9,22.7,90.36,4,1949.09,0.0,5.53338948872752,0.6611595050474276,1.6094379124341003
9,Barisal,1949,10,34.0,24.7,128.0,78.0,0.490740741,3.1,7.0,536809.8,510151.9,22.7,90.36,4,1949.1,0.0,4.859812404361672,0.3992731380341563,1.6094379124341003
10,Barisal,1949,11,31.5,17.4,41.0,68.0,0.312962963,0.9,7.85106383,536809.8,510151.9,22.7,90.36,4,1949.11,0.0,3.7376696182833684,0.2722863870020162,1.6094379124341003
11,Barisal,1949,12,29.7,12.5,0.0,66.0,0.337037037,0.3,7.725531915,536809.8,510151.9,22.7,90.36,4,1949.12,0.0,0.0,0.2904559993068053,1.6094379124341003
12,Barisal,1950,1,30.0,14.1,0.0,77.0,0.453703704,0.8,7.831914894,536809.8,510151.9,22.7,90.36,4,1950.01,0.0,0.0,0.37411457842791,1.6094379124341003
13,Barisal,1950,2,31.7,16.6,90.0,76.0,0.659259259,1.7,8.314893617,536809.8,510151.9,22.7,90.36,4,1950.02,0.0,4.51085950651685,0.5063712732603604,1.6094379124341003
14,Barisal,1950,3,36.1,20.5,13.0,70.0,1.085185185,2.9,8.131914894,536809.8,510151.9,22.7,90.36,4,1950.03,0.0,2.6390573296152584,0.7348576690525057,1.6094379124341003
15,Barisal,1950,4,37.2,24.2,66.0,75.0,1.772222222,3.3,8.219148936,536809.8,510151.9,22.7,90.36,4,1950.04,0.0,4.204692619390966,1.0196492447811478,1.6094379124341003
16,Barisal,1950,5,36.1,25.5,87.0,78.0,1.703703704,4.8,7.046808511,536809.8,510151.9,22.7,90.36,4,1950.05,1.0,4.477336814478207,0.9946225752536512,1.6094379124341003
17,Barisal,1950,6,33.9,26.0,476.0,87.0,1.631481481,7.2,4.072340426,536809.8,510151.9,22.7,90.36,4,1950.06,1.0,6.1675164908883415,0.9675469883558109,1.6094379124341003
18,Barisal,1950,7,32.2,25.9,546.0,89.0,1.57037037,6.8,3.738297872,536809.8,510151.9,22.7,90.36,4,1950.07,1.0,6.304448802421981,0.9440500013643375,1.6094379124341003
19,Barisal,1950,8,32.8,25.6,337.0,90.0,1.32962963,7.4,4.272340426,536809.8,510151.9,22.7,90.36,4,1950.08,1.0,5.823045895483019,0.8457092978610482,1.6094379124341003
20,Barisal,1950,9,33.9,26.4,187.0,84.0,0.937037037,6.5,4.823404255,536809.8,510151.9,22.7,90.36,4,1950.09,0.0,5.236441962829949,0.6611595050474276,1.6094379124341003
21,Barisal,1950,10,33.3,24.5,339.0,85.0,0.490740741,5.8,7.0,536809.8,510151.9,22.7,90.36,4,1950.1,1.0,5.8289456176102075,0.3992731380341563,1.6094379124341003
22,Barisal,1950,11,32.9,18.6,98.0,73.0,0.312962963,2.9,7.85106383,536809.8,510151.9,22.7,90.36,4,1950.11,0.0,4.59511985013459,0.2722863870020162,1.6094379124341003
23,Barisal,1950,12,30.1,14.0,0.0,68.0,0.337037037,1.5,7.725531915,536809.8,510151.9,22.7,90.36,4,1950.12,0.0,0.0,0.2904559993068053,1.6094379124341003
24,Barisal,1951,1,28.2,12.3,0.0,77.0,0.453703704,0.6,7.831914894,536809.8,510151.9,22.7,90.36,4,1951.01,0.0,0.0,0.37411457842791,1.6094379124341003
25,Barisal,1951,2,32.3,16.0,0.0,76.0,0.659259259,0.6,8.314893617,536809.8,510151.9,22.7,90.36,4,1951.02,0.0,0.0,0.5063712732603604,1.6094379124341003
26,Barisal,1951,3,35.6,21.5,67.0,70.0,1.085185185,4.0,8.131914894,536809.8,510151.9,22.7,90.36,4,1951.03,0.0,4.219507705176107,0.7348576690525057,1.6094379124341003
27,Barisal,1951,4,36.7,24.3,137.0,75.0,1.772222222,4.6,8.219148936,536809.8,510151.9,22.7,90.36,4,1951.04,0.0,4.927253685157205,1.0196492447811478,1.6094379124341003
28,Barisal,1951,5,35.2,25.6,114.0,78.0,1.703703704,3.9,7.046808511,536809.8,510151.9,22.7,90.36,4,1951.05,0.0,4.74493212836325,0.9946225752536512,1.6094379124341003
29,Barisal,1951,6,33.9,26.2,394.0,87.0,1.631481481,6.7,4.072340426,536809.8,510151.9,22.7,90.36,4,1951.06,1.0,5.978885764901122,0.9675469883558109,1.6094379124341003
30,Barisal,1951,7,35.0,26.0,375.0,89.0,1.57037037,7.2,3.738297872,536809.8,510151.9,22.7,90.36,4,1951.07,1.0,5.929589143389895,0.9440500013643375,1.6094379124341003
31,Barisal,1951,8,33.3,26.4,194.0,90.0,1.32962963,7.3,4.272340426,536809.8,510151.9,22.7,90.36,4,1951.08,0.0,5.272999558563747,0.8457092978610482,1.6094379124341003
